"","Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"6793","ENSMUSG00000026811",1833.31075454242,-0.290872293603325,0.0748921481982813,-3.88388236418621,0.000102801659457675,0.000329770292349216
"6794","ENSMUSG00000086340",5.90517906373026,1.72922551062254,0.445229034202858,3.88390104369217,0.000102793757713418,0.000329770292349216
"6795","ENSMUSG00000095589",137.553197819292,-3.87741662169378,0.998429398318584,-3.8835160785766,0.000102956720299407,0.000330219096718952
"6796","ENSMUSG00000109132",7.08526940520545,-2.73647726633377,0.704715646534856,-3.88309423778122,0.000103135572994693,0.000330744066781391
"6797","ENSMUSG00000023019",47626.9808701074,0.495590402082264,0.127632908961154,3.88293588319844,0.000103202788077874,0.000330910925903954
"6798","ENSMUSG00000026185",20690.9077502406,0.620379142465808,0.159808740292571,3.88201009112547,0.000103596577319767,0.000332124714049279
"6799","ENSMUSG00000038497",1875.48350615899,-0.173741206398379,0.0447591962644686,-3.88168736033137,0.000103734185138153,0.000332516962921153
"6800","ENSMUSG00000004849",3775.03093295021,-0.23741682444664,0.0611656767374966,-3.88153678844357,0.000103798445849379,0.000332674018947261
"6801","ENSMUSG00000105358",10.8460203093345,1.46780602849991,0.378167508341897,3.88136472891501,0.00010387192299845,0.00033286056312722
"6802","ENSMUSG00000100084",19.744564404782,1.38109692413751,0.355849247427088,3.88112925381553,0.000103972561009328,0.000333134077423889
"6803","ENSMUSG00000055128",1299.11428701458,0.266330195929906,0.0686240990576903,3.88100098343018,0.000104027420276649,0.000333260855138806
"6804","ENSMUSG00000056131",530.652851976275,0.290099881642593,0.0747548126696881,3.88068501922986,0.000104162669841638,0.000333645095021848
"6805","ENSMUSG00000041189",468.068347679673,0.496886644484323,0.128053582214033,3.88030257251071,0.000104326599481304,0.00033412107407723
"6806","ENSMUSG00000045427",3906.0158157804,-0.145229641315934,0.0374312258666317,-3.87990609320117,0.000104496800986271,0.000334616996869643
"6807","ENSMUSG00000074873",319.846572720847,-0.477166729809114,0.123016504083738,-3.8788838405317,0.000104936845484538,0.000335976731377995
"6808","ENSMUSG00000037509",169.267255479322,-0.590969822261447,0.152376843188011,-3.87834404426056,0.00010516991408492,0.00033667348818548
"6809","ENSMUSG00000028081",20809.3396604031,-0.231780304632853,0.0597729302941293,-3.87768013869011,0.000105457239441283,0.00033754370339012
"6810","ENSMUSG00000055239",3094.85755688513,0.159728261600412,0.041203865283146,3.8765358663025,0.000105954197535473,0.000339084549352144
"6811","ENSMUSG00000036962",23.8843537076189,1.05718075882298,0.272718122423953,3.87645950854542,0.000105987438280889,0.000339141129040332
"6812","ENSMUSG00000095742",194.391852530796,-0.564419086633309,0.14563306264007,-3.87562464457856,0.000106351521345689,0.000340256173841448
"6813","ENSMUSG00000064370",236229.955507512,0.595969418616526,0.153809282528633,3.87472985257298,0.000106743049072642,0.000341458683617961
"6814","ENSMUSG00000015839",4967.62914565766,-0.270135280450991,0.0697197138097912,-3.87458963454687,0.000106804526398047,0.000341605202277521
"6815","ENSMUSG00000001946",3324.83470030891,0.361523287896627,0.093308764180875,3.87448372154871,0.00010685098514159,0.000341703649328806
"6816","ENSMUSG00000021453",1302.06410271931,-0.670358787236222,0.173022281506085,-3.87440728096426,0.000106884527656092,0.000341760768153883
"6817","ENSMUSG00000113769",44.0136274900977,-0.813362738471319,0.209944818885408,-3.87417390335918,0.000106986996411448,0.000342038227928869
"6818","ENSMUSG00000053985",387.622935353465,0.332425733063372,0.085808621515573,3.87403651511919,0.000107047362598899,0.000342181023831095
"6819","ENSMUSG00000028397",1017.15286224568,0.181864250329017,0.046952578790909,3.87336020751707,0.00010734499009791,0.000343082081565311
"6820","ENSMUSG00000071311",6.78225532111623,-3.9609015294399,1.02263340743223,-3.87323697881676,0.000107399304255407,0.000343205342660168
"6821","ENSMUSG00000051984",473.749453078953,0.550472308799226,0.142131828900326,3.87296999594131,0.000107517068320599,0.000343531298486899
"6822","ENSMUSG00000089999",95.8482901438488,-0.679215322432608,0.175400025167566,-3.87237870566854,0.000107778315725197,0.000344315539858536
"6823","ENSMUSG00000040945",3700.04314968241,-0.259011255552544,0.0668882453009414,-3.87229855391196,0.000107813774916453,0.000344378339517687
"6824","ENSMUSG00000026229",5486.56249335719,0.170389873616268,0.0440089824755869,3.87170672966112,0.000108075939272112,0.000345165155406858
"6825","ENSMUSG00000024855",1512.41489704917,0.247074360366658,0.0638213676157494,3.87134230426123,0.000108237670331316,0.000345631031091677
